bssid	ssid	firstseen	lastseen	channel	security	minrssi	maxrssi	latitude	longitude	altitude
e0:46:9a:eb:b8:80	westell5376		2014-05-01 18:41:32	6	Yes	-85	-85	37°57'15.1"N	91°46'42.5"W	335.0
84:1b:5e:f9:08:de	EBSD-NET		2014-05-01 18:33:26	11	Yes	-94	-94	37°57'31.2"N	91°46'56.7"W	371.0
24:de:c6:c6:61:90	MST-PSK-N		2014-05-01 18:33:55	1	Yes	-91	-91	37°57'25.4"N	91°46'58.3"W	362.0
20:aa:4b:39:75:13	SSERVICE		2014-05-01 18:43:10	1	Yes	-92	-92	37°57'31.5"N	91°46'56.0"W	352.0
6c:f3:7f:1e:28:b4	MST-COER-N		2014-05-01 18:38:50	11	Yes	-93	-93	37°57'15.1"N	91°46'39.1"W	342.0
d8:c7:c8:98:6f:71	MST-PSK-N		2014-05-01 18:43:49	11	Yes	-71	-71	37°57'33.9"N	91°46'44.4"W	357.0
d8:c7:c8:98:71:b1	MST-PSK-N		2014-05-01 18:43:50	6	Yes	-75	-75	37°57'34.0"N	91°46'44.5"W	357.0
00:24:6c:30:e7:40	MST-WPA-N		2014-05-01 18:33:56	6	Yes	-85	-85	37°57'25.3"N	91°46'58.4"W	360.0
6c:f3:7f:1e:25:61	MST-WPA-N		2014-05-01 18:42:41	1	Yes	-95	-95	37°57'22.9"N	91°46'56.4"W	350.0
6c:50:4d:3f:a4:66	pc2rmc8v		2014-05-01 18:42:52	1	Yes	-91	-91	37°57'26.0"N	91°46'58.0"W	349.0
00:17:3f:81:42:90	Turdnet		2014-05-01 18:41:28	11	Yes	-87	-87	37°57'15.1"N	91°46'41.7"W	339.0
6c:f3:7f:1e:38:a0	MST-WPA-N		2014-05-01 18:43:04	1	Yes	-81	-81	37°57'30.2"N	91°46'57.0"W	351.0
0a:86:3b:21:b7:d0	Martens.guests		2014-05-01 18:41:40	6	Yes	-80	-80	37°57'15.1"N	91°46'44.3"W	336.0
94:44:52:fe:aa:b0	FBI Surveillance Van		2014-05-01 18:41:47	5	Yes	-78	-78	37°57'15.0"N	91°46'46.9"W	343.0
b0:05:94:1a:eb:01	PS4-A56E8A62A3EB		2014-05-01 18:43:25	6	Yes	-87	-87	37°57'31.5"N	91°46'49.9"W	352.0
00:0c:e5:4b:96:c6	motorola 6C6		2014-05-01 18:41:45	11	OPN	-91	-91	37°57'15.0"N	91°46'46.1"W	341.0
00:24:a5:d8:61:83	GET OFF MY LAN		2014-05-01 18:44:16	11	Yes	-93	-93	37°57'35.8"N	91°46'48.2"W	357.0
9c:d3:6d:b3:12:2c	NETGEAR39		2014-05-01 18:34:56	1	Yes	-88	-88	37°57'16.1"N	91°46'37.9"W	347.0
60:a4:4c:66:59:27	&lt;Hidden Network&gt;		2014-05-01 18:43:20	6	Yes	-97	-97	37°57'31.5"N	91°46'52.2"W	353.0
6c:f3:7f:1e:28:b2	MST-PUBLIC-N		2014-05-01 18:41:13	11	OPN	-94	-94	37°57'15.1"N	91°46'38.0"W	346.0
00:90:0e:03:20:0b	SMW		2014-05-01 18:33:58	6	OPN	-97	-97	37°57'25.0"N	91°46'58.8"W	356.0
ee:43:f6:7c:5b:3c	Router826		2014-05-01 18:41:41	1	Yes	-87	-87	37°57'15.1"N	91°46'44.7"W	335.0
ac:86:74:14:7c:3a	OAKNET_WIFI		2014-05-01 18:33:58	8	OPN	-84	-84	37°57'25.0"N	91°46'58.8"W	356.0
00:14:bf:f6:4a:9e	TeamScience		2014-05-01 18:41:37	6	Yes	-94	-94	37°57'15.1"N	91°46'43.0"W	336.0
5c:57:1a:bb:77:60	ARRIS-7762		2014-05-01 18:41:36	11	Yes	-79	-79	37°57'15.1"N	91°46'43.0"W	335.0
c4:04:15:02:56:85	NETGEAR79		2014-05-01 18:41:14	7	Yes	-87	-87	37°57'15.1"N	91°46'37.9"W	345.0
d8:c7:c8:f1:91:f1	MST-PUBLIC-N		2014-05-01 18:43:20	11	OPN	-65	-65	37°57'31.5"N	91°46'52.2"W	353.0
ec:1a:59:9b:65:7c	belkin.57c		2014-05-01 18:41:49	1	Yes	-80	-80	37°57'15.0"N	91°46'47.6"W	344.0
20:aa:4b:66:55:e3	HQ		2014-05-01 18:42:19	3	Yes	-87	-87	37°57'18.4"N	91°46'48.7"W	342.0
00:24:6c:30:e7:f1	MST-PSK-N		2014-05-01 18:43:22	1	Yes	-75	-75	37°57'31.5"N	91°46'51.3"W	352.0
44:94:fc:11:dd:b6	Marsalas		2014-05-01 18:33:11	6	Yes	-89	-89	37°57'31.6"N	91°46'56.4"W	351.0
e0:46:9a:c6:d1:13	westell9728		2014-05-01 18:43:17	6	Yes	-94	-94	37°57'31.5"N	91°46'53.4"W	352.0
d8:c7:c8:98:65:91	MST-PSK-N		2014-05-01 18:43:26	11	Yes	-77	-77	37°57'31.5"N	91°46'49.5"W	353.0
fe:f5:28:23:7c:50	CenturyLink3044		2014-05-01 18:33:17	1	Yes	-95	-95	37°57'31.4"N	91°46'56.6"W	359.0
d8:c7:c8:f1:8e:f4	&lt;Hidden Network&gt;		2014-05-01 18:43:24	11	Yes	-88	-88	37°57'31.5"N	91°46'50.4"W	352.0
6c:f3:7f:1e:24:d0	MST-PSK-N		2014-05-01 18:34:00	6	Yes	-93	-93	37°57'24.6"N	91°46'59.0"W	356.0
6c:50:4d:3f:a4:68	pcrmc-net3		2014-05-01 18:42:52	1	Yes	-91	-91	37°57'26.0"N	91°46'58.0"W	349.0
ec:1a:59:9b:65:7f	belkin.57c.guests		2014-05-01 18:41:49	1	OPN	-80	-80	37°57'15.0"N	91°46'47.6"W	344.0
6c:f3:7f:1e:2a:44	MST-COER-N		2014-05-01 18:34:31	6	Yes	-90	-90	37°57'18.2"N	91°46'44.7"W	342.0
6c:f3:7f:1e:2a:40	MST-PSK-N		2014-05-01 18:34:31	6	Yes	-90	-90	37°57'18.2"N	91°46'44.7"W	342.0
98:fc:11:cf:a6:b5	linksys2012		2014-05-01 18:41:40	6	Yes	-90	-90	37°57'15.1"N	91°46'44.3"W	336.0
ec:1a:59:00:d9:4e	Well hey there buddy		2014-05-01 18:42:32	11	Yes	-100	-100	37°57'20.6"N	91°46'52.7"W	347.0
